Boehner,0.032482320179977896,0.006387083247926802,432.0,50.0,241.0,-191.0,", Election of the Speaker"
Passed,0.031506399398433776,0.007107621563452845,413.0,43.0,228.0,-185.0,"Resolution raising a question of the privileges of the House, On Motion to Table"
Failed,-0.03138697709090019,-0.005311286727488296,-409.0,-55.0,-232.0,177.0,"To provide incentives for the creation of jobs, and for other purposes, On Motion to Instruct Conferees"
Passed,0.02995811116136102,0.006563499811325447,395.0,41.0,218.0,-177.0,"Expressing the sense of the House of Representatives regarding any final measure to extend the payroll tax holiday, extend Federally funded unemployment insurance benefits, or prevent decreases in reimbursement for physicians who provide care to Medicare beneficiaries, On Agreeing to the Resolution"
Passed,0.03146091285268985,0.004456199857870415,408.0,62.0,235.0,-173.0,"Addressing a motion to proceed under section 3101A of title 31, United States Code, On Ordering the Previous Question"
Passed,0.012966431745419251,-0.020985180541404577,148.0,172.0,160.0,12.0,", On Approving the Journal"
Passed,0.03138410746905211,0.0038654416402434696,402.0,62.0,232.0,-170.0,"Relating to the disapproval of the President’s exercise of authority to increase the debt limit, as submitted under section 3101A of title 31, United States Code, on January 12, 2012, On Passage"
Passed,0.007381620276431399,-0.051307297332780506,54.0,372.0,213.0,159.0,"Permanent Electronic Duck Stamp Act, On Motion to Suspend the Rules and Pass, as Amended"
Passed,-0.009618487130157645,-0.032902069071135014,-146.0,178.0,16.0,162.0,"Rota Cultural and Natural Resources Study Act, On Motion to Suspend the Rules and Pass"
Passed,0.007987548114181583,-0.056157824283676515,59.0,409.0,234.0,175.0,"Expressing the sense of the House of Representatives that the passage of a fiscal year 2013 Federal budget is of national importance, On Motion to Suspend the Rules and Agree"
Passed,0.011565923609968519,-0.04917507587105262,106.0,360.0,233.0,127.0,"World War II Memorial Prayer Act of 2011, On Motion to Suspend the Rules and Pass, as Amended"
Passed,0.005062508449736052,-0.05439486448612684,23.0,381.0,202.0,179.0,"Temporary Payroll Tax Cut Continuation Act of 2011, On Motion to Instruct Conferees"
Passed,-0.004810008262211654,-0.04358010888441819,-90.0,268.0,89.0,179.0,"Buffalo Soldiers in the National Parks Study Act, On Motion to Suspend the Rules and Pass"
Passed,0.0070471807662401045,-0.056002127560877316,46.0,408.0,227.0,181.0,"Ultralight Aircraft Smuggling Prevention Act, On Motion to Suspend the Rules and Pass"
Passed,0.029694216610426177,-0.0018557536445481856,372.0,94.0,233.0,-139.0,"Providing for consideration of the bill (H.R. 1173) to repeal the CLASS program, On Agreeing to the Resolution"
