Foley,0.044791782620390554,0.03209696438548673,-426.0,96.0,-165.0,261.0,", ELECTION OF SPEAKER"
Agreed to,0.03433600435812216,-0.012595985129751845,-218.0,242.0,12.0,230.0,", On Agreeing to the Amendment"
Failed,-0.002156050977384401,-0.000646481798337057,-10.0,-4.0,-7.0,3.0,", On Agreeing to the Amendment"
Failed,-0.04149633020080408,0.004466799542124318,266.0,-224.0,21.0,-245.0,", On Agreeing to the Amendment"
Passed,0.03561082914489774,0.03516246583551215,-323.0,41.0,-141.0,182.0,"TREASURY, POSTAL SERVICE APPROPRIATIONS FOR F.Y. 1993, ON MOTION TO RISE AND REPORT"
Passed,0.039250191406286876,0.030931658078546514,-341.0,71.0,-135.0,206.0,"TREASURY, POSTAL SERVICE APPROPRIATIONS FOR F.Y. 1993, On Passage"
Failed,0.02016371693290308,0.03363510452557587,-201.0,-17.0,-109.0,92.0,", On Agreeing to the Amendment"
Agreed to,-0.02087397502497853,-0.030712450587261242,199.0,19.0,109.0,-90.0,", On Agreeing to the Amendment"
Failed,0.011249884019528993,0.03630499593450731,-146.0,-76.0,-111.0,35.0,", On Agreeing to the Amendment"
Passed,0.021688740093680492,-0.03379677392464213,-69.0,235.0,83.0,152.0,"DEPARTMENT OF DEFENSE APPROPRIATIONS FOR FY 1993, On Passage"
Passed,0.03663330790856343,-0.04299216361097977,-129.0,373.0,122.0,251.0,"UNEMPLOYMENT COMPENSATION AMENDMENTS OF 1992, On Agreeing to the Conference Report"
Passed,0.01855504115366817,-0.048790108878332225,2.0,302.0,152.0,150.0,"REVENUE ACT OF 1992, SUSPEND THE RULES AND PASS AS AMENDED"
Passed,0.03574219670397699,0.011349008205914422,-269.0,127.0,-71.0,198.0,", On Approving the Journal"
Passed,0.04248554785731966,0.03296145818460924,-405.0,79.0,-163.0,242.0,"PROVIDING FOR THE CONSIDERATION OF H.R. 5100; TRADE EXPANSION ACT OF 1992, On Ordering the Previous Question"
Passed,0.04342394603126325,0.03206932002682832,-408.0,88.0,-160.0,248.0,"PROVIDING FOR THE CONSIDERATION OF H.R. 5100; TRADE EXPANSION ACT OF 1992, On Agreeing to the Resolution"
Agreed to,0.03328833332446152,0.01788445505752748,-277.0,93.0,-92.0,185.0,", On Agreeing to the Amendment"
Passed,0.04055596198377105,0.018006419347511703,-326.0,134.0,-96.0,230.0,"TRADE EXPANSION ACT OF 1992, On Passage"
Passed,0.036661531806989854,-0.05073871054053654,-113.0,411.0,149.0,262.0,"HIGHER EDUCATION AMENDMENTS OF 1992, On Agreeing to the Conference Report"
Passed,0.03555112814208658,0.034348784250003726,-305.0,49.0,-128.0,177.0,"DISTRICT OF COLUMBIA APPROPRIATIONS FOR FY 1993, ON MOTION TO RISE AND REPORT"
