Passed,-1.851467285688543e-18,1.316626336432493e-18,0.0,0.0,0.0,0.0,"Making emergency supplemental appropriations for the fiscal year ending September 30, 2005, and for other purposes, On Motion to Instruct Conferees"
Passed,-1.2762719902968182e-18,-6.823249628172022e-19,0.0,0.0,0.0,0.0,"Congressional Budget for FY 2006, On Motion to Instruct Conferees"
Passed,-1.6548342142513046e-18,-2.8532907613137903e-18,0.0,0.0,0.0,0.0,", On Approving the Journal"
Passed,2.346898175367474e-19,2.9064819941804115e-18,0.0,0.0,0.0,0.0,"Presidential $1 Coin Act of 2005, On Motion to Suspend the Rules and Pass, as Amended"
Passed,3.9252671438111936e-18,2.4184487005055744e-18,0.0,0.0,0.0,0.0,"Expressing the sense of Congress regarding the two-year anniversary of the human rights crackdown in Cuba, On Motion to Suspend the Rules and Agree"
Passed,-4.699398520215118e-18,-2.2120366249882683e-18,0.0,0.0,0.0,0.0,"Providing for the consideration of H. Res. 22, expressing the sense of the House of Representatives that American small businesses are entitled to a Small Business Bill of Rights, On Ordering the Previous Question"
Passed,5.141355752075941e-19,9.131206670517818e-19,0.0,0.0,0.0,0.0,"Providing for the consideration of H.R. 748, Child Interstate Abortion Notification Act, On Ordering the Previous Question"
Failed,1.0347397590556806e-18,1.0822324057115642e-18,0.0,0.0,0.0,0.0,"Expressing the sense of the House of Representatives that American small businesses are entitled to a Small Business Bill of Rights, On Motion to Recommit"
Failed,1.5374434436731175e-19,5.717944842497908e-19,0.0,0.0,0.0,0.0,"Child Interstate Abortion Notification Act, On Agreeing to the Amendment"
Failed,1.4079651803122974e-18,-4.65542200546377e-19,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,4.888257321322302e-19,-9.541691663952352e-20,0.0,0.0,0.0,0.0,"Child Interstate Abortion Notification Act, On Motion to Recommit with Instructions"
Passed,3.3007762683044614e-18,2.6050860934378194e-18,0.0,0.0,0.0,0.0,"Child Interstate Abortion Notification Act, On Passage"
Passed,-1.3982787700215728e-19,2.3906316056956033e-18,0.0,0.0,0.0,0.0,"Providing for the adoption of H. Res. 240, On Agreeing to the Resolution"
Passed,-1.0044003338995675e-19,-1.2108392821397335e-18,0.0,0.0,0.0,0.0,"Waiving a requirement of clause 6(a) of rule XIII with respect to consideration of certain resolutions reported from the Committee on Rules, On Agreeing to the Resolution"
Passed,-7.745424244719105e-19,-7.00362287951534e-19,0.0,0.0,0.0,0.0,"Waiving points of order against the conference report to accompany the concurrent resolution (H. Con. Res. 95) establishing the congressional budget for the United States Government for fiscal year 2006, On Ordering the Previous Question"
Passed,7.649677524595644e-21,-2.160168123471588e-18,0.0,0.0,0.0,0.0,", On Approving the Journal"
Passed,-1.4659401516014822e-18,-3.689387613740052e-18,0.0,0.0,0.0,0.0,"Congressional Budget for FY 2006, On Agreeing to the Conference Report"
Passed,1.2029944711347853e-18,2.312982992096349e-18,0.0,0.0,0.0,0.0,"Supporting the goals of World Intellectual Property Day, and recognizing the importance of intellectual property in the United States and worldwide, On Motion to Suspend the Rules and Agree"
Passed,1.2036286953836213e-18,1.0085537244673759e-18,0.0,0.0,0.0,0.0,", On Motion to Table the Resolution"
