Pelosi,-0.019809728324504325,0.035681216171963945,-429.0,81.0,-174.0,255.0,", Election of the Speaker"
Passed,-0.01733677802893685,0.03523617740374499,-391.0,53.0,-169.0,222.0,"Providing for consideration of the conference report to accompany H.R. 3183, Energy and Water Appropriations FY 2010, On Agreeing to the Resolution"
Passed,-0.030509423753979848,-0.0184750332714435,-73.0,415.0,171.0,244.0,"Supporting the goals and ideals of Tay-Sachs Awareness Month, On Motion to Suspend the Rules and Agree, as Amended"
Passed,-0.03036397903994707,-0.01795584808437178,-77.0,409.0,166.0,243.0,"Expressing the sense of Congress that China release democratic activist Liu Xiaobo from imprisonment, On Motion to Suspend the Rules and Agree, as Amended"
Passed,-0.023187108851821986,0.01382484343316662,-259.0,195.0,-32.0,227.0,"Making appropriations for energy and water development and related agencies, FY 2010, On Agreeing to the Conference Report"
Passed,-0.029415262967376045,-0.017753023198380312,-74.0,398.0,162.0,236.0,"Department of Defense Authorization, FY 2010, On Motion to Authorize Conferees to Close Conference"
Failed,0.016541635566458178,-0.03202148886923136,350.0,-56.0,147.0,-203.0,"Department of Defense Authorization, FY 2010, On Motion to Instruct Conferees"
Passed,-0.030523907807636932,-0.01764130904227018,-82.0,412.0,165.0,247.0,"Expressing support for designation of the week of September 13, 2009, as Adult Education and Family Literacy Week, On Motion to Suspend the Rules and Agree, as Amended"
Passed,-0.017749955097388078,0.03544326105386308,-395.0,57.0,-169.0,226.0,"Providing for consideration of the conference report to accompany H.R. 2997, Agriculture Appropriations FY 2010, On Ordering the Previous Question"
Passed,-0.01839321581586662,0.03578726102673742,-403.0,63.0,-170.0,233.0,"Providing for consideration of the conference report to accompany H.R. 2997, Agriculture Appropriations FY 2010, On Agreeing to the Resolution"
Passed,-0.019315613570349575,0.03211997178279215,-391.0,87.0,-152.0,239.0,", Ordering the Previous Question On Motion to Refer"
Passed,-0.0195174224986477,0.03143823128167078,-383.0,93.0,-145.0,238.0,", On Motion to Refer"
Passed,-0.025389537334506218,0.011153401917292388,-254.0,232.0,-11.0,243.0,"To recognize the Dyke March Wildlife Preserve as a unique and precious ecosystem, On Motion to Suspend the Rules and Agree"
Passed,-0.019676469752357078,0.029364936330050908,-358.0,102.0,-128.0,230.0,"Making appropriations for Agriculture, Rural Development, Food and Drug Administration, and Related Agencies programs for the fiscal year ending September 30, 2010, and for other purposes, On Agreeing to the Conference Report"
Passed,-0.027969422578502386,0.00242611987234735,-208.0,292.0,42.0,250.0,"Providing for the concurrence by the House in the Sentate amendment to H.R. 1035, with an amendment, On Motion to Suspend the Rules and Agree"
Passed,-0.03136150550071159,-0.018721535341329466,-78.0,426.0,174.0,252.0,"Honoring the people of Shanksville, Pennsylvania, and the Flight 93 Ambassadors for their efforts in creating the Flight 93 temporary memorial and encouraging the completion of the National Park Service Flight 93 National Memorial by the 10th anniversary of September 11, 2001, On Motion to Suspend the Rules and Agree"
Passed,-0.017356251238073817,0.036250242864645475,-400.0,50.0,-175.0,225.0,"Providing for consideration of the conference report to accompany H.R. 2647, the Department of Defense Authorization, FY 2010, On Ordering the Previous Question"
Passed,-0.01687728858259184,0.035960687528581156,-392.0,46.0,-173.0,219.0,"Providing for consideration of the conference report to accompany H.R. 2647, the Department of Defense Authorization, FY 2010, On Agreeing to the Resolution, as Amended"
Passed,-0.03076043915366907,-0.01909927330496149,-71.0,421.0,175.0,246.0,"Recognizing that country music has made a tremendous contribution to American life and culture and declaring country music to be a uniquely American art form, On Motion to Suspend the Rules and Agree"
Passed,-0.030983622219181783,-0.018851657018372103,-74.0,422.0,174.0,248.0,"Proclaiming Casimir Pulaski to be an honorary citizen of the United States posthumously, On Motion to Suspend the Rules and Pass"
Passed,-0.03047032920199043,-0.018874911529713795,-70.0,416.0,173.0,243.0,"Service Members Home Ownership Tax Act, On Motion to Suspend the Rules and Pass"
Failed,0.013083515761542517,-0.03583592578146213,356.0,-8.0,174.0,-182.0,"Department of Defense Authorization, FY 2010, On Motion to Recommit with Instructions"
