Passed,-1.407576405888706e-18,9.899828981843516e-18,0.0,0.0,0.0,0.0,"NIOBRARA SCENIC RIVER DESIGNATION ACT OF 1991, On Passage"
Agreed to,2.679960736160495e-18,-4.008825040582497e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,-1.920287189894554e-18,-2.8418723966500346e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Agreed to,-6.774916388161006e-19,-4.857904411837147e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,-1.530499273743101e-18,-1.8328195938114064e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,4.640179134557837e-19,4.810931698150018e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,1.8801644002367886e-18,2.5812180521809177e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Passed,-2.0317666112214767e-18,-5.702577606357385e-18,0.0,0.0,0.0,0.0,"PROVIDING FOR THE CONSIDERATION OF H.R. 2100; DEPARTMENT OF DEFENSE AUTHORIZATION ACT FOR FY 1992 AND 1993, On Agreeing to the Resolution"
Failed,7.752562617672076e-19,-7.149384254210778e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Agreed to,1.3402797339408261e-18,-3.3712686405550136e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,-2.7178853576403774e-18,-6.247663371040771e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Agreed to,-6.166712600278984e-18,-3.664410064087057e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,1.4163041736627477e-19,1.9222404011452464e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Agreed to,3.2156823301314434e-18,-4.670538160295636e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,7.123222395797662e-19,5.063921015306051e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Passed,-1.0663071821436766e-18,1.9078723013529646e-18,0.0,0.0,0.0,0.0,", On Approving the Journal"
Failed,3.497065276350215e-18,-9.699936822410985e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,8.310454003004219e-19,2.2725873600591543e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,-1.6349945112402533e-18,-1.1853559448136137e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,-1.9765836326440256e-18,2.605216829791659e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Agreed to,1.3327902210704205e-18,-1.0814784901124824e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Passed,4.936098812655925e-19,-1.8154053238044053e-19,0.0,0.0,0.0,0.0,"NATIONAL DEFENSE AUTHORIZATION ACT FOR FISCAL YEARS 1992 AND 1993, On Passage"
Passed,-1.3675792186720074e-18,5.004730414077305e-18,0.0,0.0,0.0,0.0,"WAIVING ALL POINTS OF ORDER AGAINST THE CONFERENCE REPORT ON H. CON. RES. 121, CONGRESSIONAL BUDGET FOR U.S. GOVERNMENT FOR FY 92/96, On Agreeing to the Resolution"
Passed,2.0000468244112393e-18,1.1879201260783665e-18,0.0,0.0,0.0,0.0,"CONGRESSIONAL BUDGET FOR THE UNITED STATES GOVERNMENT FOR FISCAL YEARS 1992, 1993, 1994, 1995 AND 1996, On Agreeing to the Conference Report"
Passed,2.5255555375778854e-18,-7.82384622005603e-18,0.0,0.0,0.0,0.0,"DIRE EMERGENCY SUPPLEMENTAL APPROPRIATIONS FOR HUMANITARIAN ASSISTANCE TO REFUGEES AND DISPLACED PERSONS IN AND AROUND IRAQ FOR FY 1991, On Agreeing to the Conference Report"
Passed,1.4916255464858802e-18,-3.911817611941336e-18,0.0,0.0,0.0,0.0,"PROVIDING FOR CONSIDERATION OF TWO RESOLUTIONS, H. RES. 101 AND H. RES. 146, ON THE SUBJECT OF FAST TRACK PROCEDURES FOR CONSIDERATION OF BILLS TO IMPLEMENT TRADE AGREEMENTS, On Agreeing to the Resolution"
Failed,-2.9391392815656036e-18,-2.091163919924463e-19,0.0,0.0,0.0,0.0,"DISAPPROVING THE EXTENSION OF FAST TRACK PROCEDURES TO BILLS TO IMPLEMENT TRADE AGREEMENTS, On Agreeing to the Resolution"
Passed,-1.6943666788045925e-18,-1.2966947247522008e-18,0.0,0.0,0.0,0.0,"EXPRESSING THE SENSE OF THE HOUSE WITH RESPECT TO THE UNITED STATES OBJECTIVES ACHIEVED IN THE NEGOTIATION OF FUTURE TRADE AGREEMENTS, On Agreeing to the Resolution"
Failed,-3.719285937561074e-18,-1.121280165134853e-19,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,-1.5308732040821755e-18,4.000087668708785e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Passed,8.218388994988826e-19,3.937253177225957e-18,0.0,0.0,0.0,0.0,"ENERGY AND WATER DEVELOPMENT APPROPRIATIONS FOR FY 1992, On Passage"
Passed,-1.2283208090720263e-18,7.680025590317234e-19,0.0,0.0,0.0,0.0,"WAIVING CERTAIN POINTS OF ORDER DURING CONSIDERATION OF H.R. 2426; MILITARY CONSTRUCTION APPROPRIATIONS FOR FY 1992, On Agreeing to the Resolution"
Passed,1.816409384824987e-18,-6.693281611122895e-18,0.0,0.0,0.0,0.0,"MILITARY CONSTRUCTION APPROPRIATIONS FOR FY 1992, On Passage"
Passed,1.1110281953872986e-18,-3.6101735767348615e-18,0.0,0.0,0.0,0.0,"PALO ALTO BATTLEFIELD NATIONAL HISTORIC SITE, SUSPEND THE RULES AND PASS AS AMENDED"
Passed,5.360403820704234e-19,3.840300328421521e-18,0.0,0.0,0.0,0.0,"FEDERAL FIRE PREVENTION AND CONTROL, SUSPEND THE RULES AND PASS"
Passed,1.6063068548375365e-19,6.617331523386629e-18,0.0,0.0,0.0,0.0,"TACONIC MOUNTAINS PROTECTION ACT OF 1991, SUSPEND THE RULES AND PASS"
Passed,7.465665652903537e-20,7.657707082647174e-19,0.0,0.0,0.0,0.0,"PROVIDING FOR THE CONSIDERATION OF H.R. 1; CIVIL RIGHTS ACT OF 1991, On Ordering the Previous Question"
Passed,1.39469764841754e-18,1.071776002982993e-19,0.0,0.0,0.0,0.0,"PROVIDING FOR THE CONSIDERATION OF H.R. 1; CIVIL RIGHTS ACT OF 1991, On Agreeing to the Resolution"
Failed,1.2311430489649968e-19,2.7871440964611077e-19,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,1.3243517231290519e-18,-3.671981336725224e-19,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
